StudentNumber,Name,Surname,Image,DOB,Gender,Phone,Address,ModuleCode
1,Kerri,Ruthven,https://robohash.org/eosaccusantiumdelectus.png?size=50x50&set=set1,1992/06/24,F,564-109-3042,19 Coolidge Trail,BRL
2,Lawton,Vannuccinii,https://robohash.org/saepequaevoluptas.png?size=50x50&set=set1,1992/09/06,M,673-486-7984,1 Welch Point,UYU
3,Georgine,Pinchbeck,https://robohash.org/quisporroexcepturi.png?size=50x50&set=set1,1995/10/23,F,491-337-5049,4 Melody Way,EUR
4,Sander,Meyrick,https://robohash.org/laboreeosdolorum.png?size=50x50&set=set1,1997/01/27,M,828-395-2649,81 Orin Crossing,CNY
5,Tam,Stobbs,https://robohash.org/quoinomnis.png?size=50x50&set=set1,1994/05/20,M,260-826-8875,15 Eliot Terrace,BRL
6,Alethea,Baselli,https://robohash.org/namimpeditaut.png?size=50x50&set=set1,1997/03/27,F,171-530-3487,3050 Scofield Trail,PAB
7,Noel,Brisset,https://robohash.org/fugaetullam.png?size=50x50&set=set1,2004/09/15,F,691-539-8991,97604 Grayhawk Pass,PLN
8,Cordy,Ivimy,https://robohash.org/intotamaperiam.png?size=50x50&set=set1,1996/10/09,M,163-314-5963,6 School Court,HTG
9,Jarib,Dumbell,https://robohash.org/suntquosnecessitatibus.png?size=50x50&set=set1,1994/01/11,M,731-977-5462,4734 Old Shore Drive,EUR
10,Blakelee,Cuffin,https://robohash.org/similiquesuntillum.png?size=50x50&set=set1,1999/02/27,F,747-125-1235,4 Schurz Alley,MMK
11,Victoir,Ord,https://robohash.org/enimsapienteest.png?size=50x50&set=set1,2003/08/21,M,538-565-0474,4100 Gulseth Avenue,RUB
12,Juanita,Showler,https://robohash.org/blanditiisestet.png?size=50x50&set=set1,2002/11/26,F,252-669-9791,54 Delaware Way,EUR
13,Linnet,Foggarty,https://robohash.org/doloresvoluptatumnam.png?size=50x50&set=set1,2002/07/05,F,974-410-0983,75 Del Sol Lane,NPR
14,Bobbee,Poxon,https://robohash.org/remanimifuga.png?size=50x50&set=set1,1998/11/11,F,500-618-4401,5500 Oxford Park,CNY
15,Geri,Gater,https://robohash.org/quosarchitectosuscipit.png?size=50x50&set=set1,2003/08/07,F,466-265-3733,134 Bluestem Park,CNY
